id,group,abbr,criterion,act_rule,element_n,tag,selector,accessible_name,name_source,css_width,css_height,outcome,justification,evaluator_code,date
7,mundo,UC Berkeley,1.1.1,qt1vmo,2,img,div.title > h1 > a.logo > img,UC Berkeley home,alt,144,27,cumple,Verificado contra la imagen: el nombre sirve un proposito equivalente al contenido no textual.,R03,2026-09-08
7,mundo,UC Berkeley,1.1.1,qt1vmo,3,img,div.column > div.column__image > div.bg-image-wrap > img,A photo of a researcher in a white lab coat and hairnet sitting at a desk looking into a large microscope.,alt,718,479,cumple,Verificado contra la imagen: el nombre sirve un proposito equivalente al contenido no textual.,R03,2026-09-08
7,mundo,UC Berkeley,1.1.1,qt1vmo,4,img,div.column > div.column__image > div.bg-image-wrap > img,A scientist wearing a blue lab coat that reads,alt,718,479,falla,"El texto alternativo termina a mitad de frase (""...blue lab coat that reads ""), de modo que no entrega el dato que anuncia: lo que se lee en la bata. Verificado en el codigo fuente de la pagina.",R03,2026-09-08
7,mundo,UC Berkeley,1.1.1,qt1vmo,5,img,div.column > div.column__image > div.bg-image-wrap > img,"Jennifer Doudna, in a white lab coat, points at computer screen while speaking to a student in her biochemistry lab at the Innovative Genomics Institute",alt,718,479,cumple,Verificado contra la imagen: el nombre sirve un proposito equivalente al contenido no textual.,R03,2026-09-08
7,mundo,UC Berkeley,1.1.1,qt1vmo,14,img,div.column > div.column__image > div.bg-image-wrap > img,"students congregate on a lawn in groups and one holds a large flag that says Cal. The Campanile is in the background, along with other campus buildings",alt,718,479,cumple,Verificado contra la imagen: el nombre sirve un proposito equivalente al contenido no textual.,R03,2026-09-08
7,mundo,UC Berkeley,1.1.1,qt1vmo,15,img,div.column > div.column__image > div.bg-image-wrap > img,interior of a large law library with many books and large tables for studying,alt,718,479,cumple,Verificado contra la imagen: el nombre sirve un proposito equivalente al contenido no textual.,R03,2026-09-08
7,mundo,UC Berkeley,1.1.1,qt1vmo,16,img,div.column > div.column__image > div.bg-image-wrap > img,Long exposure image with a focused Sather Gate and blurred individuals walking through it,alt,718,479,cumple,Verificado contra la imagen: el nombre sirve un proposito equivalente al contenido no textual.,R03,2026-09-08
7,mundo,UC Berkeley,1.1.1,qt1vmo,21,img,div.content-container > div.component > a.logo > img,UC Berkeley,alt,200,37,cumple,Verificado contra la imagen: el nombre sirve un proposito equivalente al contenido no textual.,R03,2026-09-08
14,mundo,UCL,1.1.1,qt1vmo,1,img,div.header__top > div.header__top-container > a.header__link > img,UCL Logo,alt,144,64,cumple,Verificado contra la imagen: el nombre sirve un proposito equivalente al contenido no textual.,R03,2026-09-08
14,mundo,UCL,1.1.1,qt1vmo,21,img,div.homepage-hero__media > div.media > picture > img,Illuminated portico for UCL 200 event,alt,756,480,cumple,Verificado contra la imagen: el nombre sirve un proposito equivalente al contenido no textual.,R03,2026-09-08
